first_name  last_name     
Adrian      Sampson       
Steven      Brault        
Erik        Gonzalez      
Adalberto   Mondesi       
Guillermo   Heredia       
Jandel      Gustave       
Austin      Brice         
Chad        Pinder        
Robert      Gsellman      
Juan        Minaya        
Matt        Dermody       
Carson      Kelly         
Jharel      Cotton        
Matt        Koch          
Roman       Quinn         
Jorge       Alfaro        
Miguel      Diaz          
Andrew      Knapp         
Casey       Lawrence      
JT          Riddle        
Johan       Camargo       
Jarlin      Garcia        
Magneuris   Sierra        
Bradley     Zimmer        
Anthony     Alford        
Paolo       Espino        
Drew        Steckenrider  
Sean        Newcomb       
Lewis       Brinson       
Kyle        Crick         
Adam        Kolarek       
Jackson     Stephens      
Luke        Farrell       
Caleb       Smith         
Andrew      Kittredge     
Erick       Fedde         
Rhys        Hoskins       
Dillon      Peters        
Niko        Goodrum       
Walker      Buehler       
Victor      Arano         
Yairo       Munoz         
Billy       McKinney      
Scott       Kingery       
Luke        Bard          
Victor      Reyes         
Tyler       Kinley        
Tanner      Rainey        
Tyler       Beede         
Ronald      Guzman        
Lou         Trivino       
David       Bote          
Eric        Stout         
Grayson     Greiner       
Elieser     Hernandez     
Michael     Hermosillo    
Jose        Castillo      
Sam         Howard        
Austin      Davis         
Ryan        Borucki       
Paul        Fry           
Willians    Astudillo     
Joey        Krehbiel      
Steven      Duggar        
James       Norwood       
Dakota      Hudson        
Kolby       Allard        
Sean        Reid-Foley    
Touki       Toussaint     
Austin      Dean          
Aristides   Aquino        
Ryan        Burr          
Josh        Rogers        
Aramis      Garcia        
Rowan       Wick          
Connor      Sadzeck       
Andrew      Velazquez     
Yoan        Lopez         
DJ          Stewart       
Justus      Sheffield     
John        Means         
Dylan       Moore         
Drew        Jackson       
Frank       Schwindel     
Kyle        Dowdy         
Richie      Martin        
Reed        Garrett       
Chris       Ellis         
Chris       Paddack       
Trent       Thornton      
Alex        Jackson       
Pedro       Avila         
Gerardo     Reyes         
Mike        Ford          
Brett       Martin        
Cole        Tucker        
Darwinzon   Hernandez     
Travis      Lakins        
Kelvin      Gutierrez     
Skye        Bolt          
Josh        VanMeter      
Austin      Allen         
Corbin      Martin        
Parker      Markel        
Keston      Hiura         
Shaun       Anderson      
Brendan     Rodgers       
David       McKay         
Sam         Coonrod       
Jack        Mayfield      
Jesus       Tinoco        
Phillips    Valdez        
Tayler      Scott         
Phillip     Diehl         
Huascar     Ynoa          
Logan       Allen         
Sean        Poppen        
Zack        Collins       
Bobby       Bradley       
Locke       St. John      
Chris       Mazza         
Adrian      Morejon       
Conner      Menez         
Cody        Stashak       
Michel      Baez          
Dillon      Tate          
Sam         Selman        
Travis      Demeritte     
Robert      Dugger        
Junior      Fernandez     
Dom         Nunez         
Sheldon     Neuse         
Bryan       Garcia        
Gavin       Lux           
Danny       Mendick       
Ronald      Bolanos       
T. J.       Zeuch         
Jaylin      Davis         
Brian       Moran         
Anthony     Kay           
Donovan     Walton        
Art         Warren        
Justin      Dunn          
Blake       Taylor        
Enoli       Paredes       
J. P.       Feyereisen    
Jonathan    Arauz         
Yoshi       Tsutsugo      
Aaron       Whitefield    
Nick        Neidert       
Taylor      Widener       
JT          Brubaker      
Jordan      Holloway      
Kodi        Whitley       
Taylor      Jones         
Vimael      Machin        
Anthony     Castro        
Foster      Griffin       
Rony        Garcia        
Matt        Foster        
Nick        Nelson        
Yermin      Mercedes      
Humberto    Castellanos   
Jo          Adell         
Monte       Harrison      
Eddy        Alvarez       
Luis        Patino        
Ryan        Castellani    
Spencer     Howard        
Jeremy      Beasley       
Lewin       Diaz          
Max         Schrock       
Jesus       Cruz          
Luis        Gonzalez      
Tarik       Skubal        
Ashton      Goudeau       
Casey       Mize          
Aaron       Fletcher      
Mark        Payton        
Triston     McKenzie      
Ian         Anderson      
Mitch       White         
Miguel      Yajure        
Derek       Hill          
Mauricio    Llovera       
Sergio      Alcantara     
Daz         Cameron       
Yadiel      Hernandez     
Daulton     Jefferies     
Travis      Blankenhorn   
Bruce       Zimmermann    
Patrick     Murphy        
Adonis      Medina        
Ka'ai       Tom           
Hirokazu    Sawamura      
Jordan      Sheffield     
Jose        Rojas         
Jake        Brentz        
Kohei       Arihara       
Kevin       Padlo         
Matt        Peacock       
Sam         Clay          
Patrick     Mazeika       
Eduard      Bazardo       
Ronnie      Dawson        
Ryan        Hendrix       
Louis       Head          
Zac         Lowther       
Lucas       Gilbreath     
Mario       Feliciano     
Wyatt       Mills         
Anthony     Bender        
Sebastian   Rivero        
Cody        Poteet        
Jake        Hager         
Khalil      Lee           
Tommy       Nance         
Luis        Barrera       
P. J.       Higgins       
J. C.       Mejia         
Jose        Godoy         
Vladimir    Gutierrez     
Ralph       Garza         
Gilberto    Celestino     
Angel       Rondon        
Zach        Thompson      
Dillon      Thomas        
Tony        Santillan     
Zach        Reks          
Miguel      Sanchez       
Vinny       Nittoli       
Alex        Wells         
Max         Kranick       
Alejo       Lopez         
Aaron       Ashby         
Thomas      Szapucki      
Spenser     Watkins       
Hoy         Park          
Kirby       Snead         
Manuel      Rodriguez     
Luis        Gil           
Tyler       Gilbert       
Dusten      Knight        
Marcos      Diplan        
Damon       Jones         
Francisco   Perez         
Otto        Lopez         
Jose        Marte         
Nicklaus    Snyder        
Glenn       Otto          
Alfonso     Rivas         
Scott       Effross       
A. J.       Alexy         
Raynel      Espinal       
Kyle        Tyler         
Kervin      Castro        
Oliver      Ortega        
Seth        Beer          
Jhonathan   Diaz          
Payton      Henry         
Shane       Baz           
Jhon        Romero        
Riley       O'Brien       
Angel       Zerpa         
Joan        Adon          
Diego       Castillo      
Robert      Suarez        
Daniel      Duarte        
Jacob       Lemoine       
Joe         Perez         
Collin      Snider        
Ethan       Roberts       
Gosuke      Katoh         
Bryan       Lavastida     
Elvin       Rodriguez     
Lucius      Fox           
Simon       Muzziotti     
Tommy       Romero        
Anderson    Severino      
Phoenix     Sanders       
Nick        Plummer       
Kenny       Rosenberg     
Zach        Logue         
Christian   Lopes         
Mark        Kolozsvary    
Mickey      McDonald      
J. J.       Matijevic     
Tanner      Tully         
Angel       De Jesus      
Beau        Brieske       
Kirk        McCarty       
Richie      Palacios      
Beau        Sulser        
Rene        Pinto         
Bowden      Francis       
William     Woods         
Jason       Krizan        
Vinny       Capra         
Jared       Solomon       
Joe         Dunand        
Francisco   Morales       
Kramer      Robertson     
Jake        Walsh         
Mark        Contreras     
Ryan        Pepiot        
Cam         Alldred       
Davis       Martin        
Dairon      Blanco        
Nick        Vespi         
Michael     Papierski     
Cal         Mitchell      
Ivan        Herrera       
Yerry       De Los Santos 
Brewer      Hicklen       
Cody        Sedlock       
Anderson    Espinoza      
Matt        Swarmer       
Jermaine    Palacios      
Evan        Lee           
Jason       Alexander     
Luke        Barker        
Steele      Walker        
Travis      Swaggerty     
Jared       Koenig        
Aneurys     Zabala        
Jackson     Tetreault     
Michael     Kelly         
Buddy       Kennedy       
Cam         Vieaux        
David       MacKinnon     
Liover      Peguero       
Jerar       Encarnacion   
Sean        Bouchard      
Bligh       Madris        
Jonathan    Aranda        
Marcus      Wilson        
Mark        Appel         
Matthew     Batten        
Narciso     Crook         
Korey       Lee           
Cristofer   Ogando        
Michael     Stefanic      
Dermis      Garcia        
Bubby       Rossman       
Nick        Duron         
Elier       Hernandez     
Max         Meyer         
Caleb       Hamilton      
Charles     Leblanc       
Jack        Larsen        
Jake        Fishman       
Yusniel     Diaz          
Luis        Castillo      
Wynton      Bernard       
A. J.       Ladwig        
Freddy      Tarnok        
Norge       Ruiz          
Nate        Fisher        
Michael     Plassmeyer    
Chuckie     Robinson      
Cade        Cavalli       
Eguy        Rosario       
Ryan        Aguilar       
Brendon     Little        
Cody        Thomas        
Ben         DeLuzio       
Cody        Morris        
Donny       Sands         
Bryce       Montes de Oca 
Josh        Lester        
Luis        Liberato      
Israel      Pineda        
Jordan      Groshans      
Collin      Wiles         
Jared       Young         
Esteban     Quiroz        
Frank       German        
Gavin       Hollowell     
Ronny       Henriquez     
Michael     Siani         
Ford        Proctor       
Brendon     Davis         
Brian       O'Keefe       
Nate        Mondou        
Nash        Walters       
